"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
31;"management";"married";"tertiary";"no";6290;"no";"no";"cellular";20;"nov";303;2;-1;0;"unknown";"no"
57;"admin.";"married";"secondary";"no";808;"no";"no";"cellular";14;"jul";417;3;-1;0;"unknown";"no"
40;"services";"married";"unknown";"no";4075;"yes";"no";"unknown";16;"jun";162;3;-1;0;"unknown";"no"
28;"blue-collar";"married";"secondary";"no";373;"yes";"no";"cellular";14;"may";10;9;344;1;"failure";"no"
44;"admin.";"single";"secondary";"no";-101;"yes";"no";"cellular";10;"jul";99;1;-1;0;"unknown";"no"
49;"services";"divorced";"secondary";"no";3250;"no";"no";"unknown";16;"jun";32;3;-1;0;"unknown";"no"
46;"management";"married";"tertiary";"no";1375;"yes";"no";"cellular";17;"nov";308;3;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"no";180;"no";"no";"cellular";16;"jun";298;3;-1;0;"unknown";"no"
58;"technician";"married";"secondary";"no";175;"no";"no";"cellular";12;"aug";92;4;-1;0;"unknown";"no"
52;"services";"married";"secondary";"no";381;"no";"yes";"cellular";25;"aug";288;12;-1;0;"unknown";"no"
27;"blue-collar";"married";"secondary";"no";2171;"yes";"no";"cellular";16;"apr";130;1;323;1;"other";"no"
48;"technician";"married";"secondary";"no";340;"yes";"no";"cellular";28;"jan";255;2;-1;0;"unknown";"no"
33;"technician";"divorced";"secondary";"yes";10;"yes";"yes";"cellular";18;"nov";167;5;-1;0;"unknown";"no"
46;"admin.";"married";"secondary";"no";4958;"yes";"no";"cellular";17;"nov";64;3;150;5;"other";"no"
51;"housemaid";"married";"unknown";"no";21244;"no";"yes";"cellular";4;"aug";166;2;-1;0;"unknown";"no"
31;"management";"married";"tertiary";"no";156;"no";"no";"cellular";13;"aug";657;7;-1;0;"unknown";"yes"
35;"technician";"divorced";"secondary";"no";473;"yes";"yes";"unknown";26;"may";434;4;-1;0;"unknown";"no"
37;"admin.";"single";"secondary";"no";781;"no";"no";"cellular";20;"aug";75;1;-1;0;"unknown";"no"
60;"entrepreneur";"married";"primary";"no";0;"no";"no";"telephone";23;"jul";40;1;-1;0;"unknown";"no"
40;"technician";"married";"secondary";"no";1819;"no";"no";"cellular";5;"jun";398;2;-1;0;"unknown";"no"
