"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
47;"unknown";"married";"unknown";"no";677;"no";"no";"cellular";7;"aug";384;1;99;4;"success";"no"
41;"self-employed";"married";"primary";"no";340;"no";"no";"unknown";6;"jun";37;3;-1;0;"unknown";"no"
54;"technician";"married";"tertiary";"no";98;"no";"no";"cellular";8;"aug";420;4;-1;0;"unknown";"no"
47;"technician";"divorced";"tertiary";"no";477;"yes";"no";"telephone";7;"may";973;1;366;1;"failure";"no"
32;"management";"single";"tertiary";"no";2629;"no";"no";"cellular";28;"aug";77;4;-1;0;"unknown";"no"
59;"housemaid";"married";"tertiary";"no";0;"no";"yes";"cellular";29;"jul";376;2;-1;0;"unknown";"no"
29;"technician";"single";"tertiary";"no";2325;"no";"no";"cellular";2;"feb";125;1;-1;0;"unknown";"yes"
48;"services";"married";"secondary";"yes";-20;"no";"no";"cellular";20;"aug";142;2;-1;0;"unknown";"no"
32;"technician";"single";"secondary";"no";230;"yes";"no";"cellular";18;"may";442;1;266;8;"failure";"yes"
46;"management";"divorced";"secondary";"no";-852;"no";"yes";"cellular";29;"aug";728;2;-1;0;"unknown";"no"
31;"blue-collar";"single";"primary";"no";-280;"no";"no";"unknown";21;"may";281;3;-1;0;"unknown";"no"
53;"blue-collar";"married";"secondary";"no";25;"no";"no";"cellular";22;"aug";528;2;-1;0;"unknown";"yes"
34;"technician";"single";"tertiary";"no";9851;"yes";"no";"cellular";20;"nov";128;5;-1;0;"unknown";"no"
48;"services";"single";"unknown";"no";5095;"yes";"no";"unknown";16;"jun";71;1;-1;0;"unknown";"no"
32;"technician";"married";"secondary";"no";687;"no";"no";"cellular";20;"aug";161;4;-1;0;"unknown";"no"
31;"management";"married";"secondary";"no";1368;"yes";"no";"cellular";12;"aug";129;4;-1;0;"unknown";"no"
27;"blue-collar";"single";"primary";"no";-179;"yes";"no";"cellular";15;"may";54;2;-1;0;"unknown";"no"
60;"admin.";"married";"secondary";"no";-396;"yes";"no";"cellular";11;"may";443;1;350;1;"failure";"no"
34;"blue-collar";"single";"tertiary";"no";1011;"yes";"no";"unknown";6;"may";136;1;-1;0;"unknown";"no"
52;"self-employed";"married";"secondary";"no";9;"no";"yes";"unknown";6;"jun";44;1;-1;0;"unknown";"no"
48;"blue-collar";"married";"secondary";"no";1159;"yes";"yes";"cellular";15;"may";1181;9;-1;0;"unknown";"no"
45;"technician";"married";"primary";"no";-322;"no";"no";"unknown";9;"jun";225;2;-1;0;"unknown";"no"
54;"technician";"divorced";"secondary";"no";1114;"yes";"no";"cellular";30;"jan";81;1;-1;0;"unknown";"no"
52;"services";"married";"secondary";"no";2072;"no";"no";"cellular";10;"jul";224;1;-1;0;"unknown";"no"
47;"entrepreneur";"married";"tertiary";"no";459;"yes";"no";"cellular";29;"jul";189;4;-1;0;"unknown";"no"
54;"unknown";"married";"secondary";"no";1157;"no";"no";"cellular";26;"may";98;2;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";8309;"yes";"yes";"cellular";19;"nov";50;1;-1;0;"unknown";"no"
39;"technician";"single";"tertiary";"no";1043;"no";"no";"cellular";18;"aug";195;10;-1;0;"unknown";"no"
46;"technician";"married";"secondary";"no";2098;"no";"no";"cellular";7;"aug";110;2;-1;0;"unknown";"no"
26;"unemployed";"single";"secondary";"no";461;"no";"no";"cellular";28;"jan";214;1;-1;0;"unknown";"no"
37;"technician";"single";"secondary";"no";61;"yes";"no";"unknown";19;"may";182;8;-1;0;"unknown";"no"
47;"blue-collar";"married";"secondary";"no";1203;"yes";"no";"cellular";17;"apr";239;2;-1;0;"unknown";"no"
35;"technician";"married";"secondary";"no";1067;"no";"yes";"cellular";12;"aug";179;6;-1;0;"unknown";"no"
57;"unemployed";"married";"primary";"no";0;"no";"no";"unknown";9;"jun";540;1;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"no";1657;"yes";"no";"cellular";18;"may";566;2;356;4;"failure";"no"
47;"technician";"married";"secondary";"no";1219;"no";"no";"cellular";18;"aug";697;4;-1;0;"unknown";"yes"
27;"technician";"married";"secondary";"no";7;"yes";"no";"unknown";15;"may";98;2;-1;0;"unknown";"no"
40;"blue-collar";"married";"secondary";"no";-839;"yes";"yes";"cellular";16;"jul";1018;2;-1;0;"unknown";"yes"
39;"technician";"married";"secondary";"no";994;"no";"no";"cellular";5;"feb";221;1;241;1;"failure";"no"
36;"entrepreneur";"married";"tertiary";"no";6;"no";"no";"telephone";30;"oct";246;1;-1;0;"unknown";"no"
42;"technician";"single";"secondary";"no";0;"no";"no";"cellular";21;"aug";656;2;-1;0;"unknown";"no"
23;"blue-collar";"single";"primary";"no";8627;"yes";"no";"unknown";3;"jun";281;1;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"no";133;"yes";"no";"unknown";8;"may";65;1;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";247;"yes";"yes";"unknown";26;"may";193;5;-1;0;"unknown";"no"
49;"services";"married";"secondary";"no";1114;"no";"no";"cellular";17;"nov";283;1;-1;0;"unknown";"no"
57;"blue-collar";"married";"primary";"no";1592;"no";"yes";"unknown";20;"jun";78;4;-1;0;"unknown";"no"
59;"retired";"married";"unknown";"no";0;"no";"no";"unknown";8;"may";425;6;-1;0;"unknown";"no"
57;"admin.";"married";"tertiary";"no";46;"no";"no";"cellular";7;"aug";238;2;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";1221;"yes";"no";"cellular";6;"may";182;1;90;8;"failure";"no"
61;"management";"married";"secondary";"no";985;"no";"no";"cellular";18;"aug";998;6;-1;0;"unknown";"yes"
35;"blue-collar";"divorced";"secondary";"no";0;"yes";"no";"unknown";8;"may";477;1;-1;0;"unknown";"no"
42;"management";"married";"tertiary";"no";520;"no";"no";"cellular";4;"nov";158;1;-1;0;"unknown";"no"
57;"services";"married";"tertiary";"no";10;"no";"no";"telephone";8;"jul";320;3;-1;0;"unknown";"no"
42;"blue-collar";"married";"secondary";"no";2157;"yes";"no";"cellular";13;"may";149;1;364;2;"failure";"no"
53;"retired";"married";"secondary";"no";6095;"yes";"yes";"cellular";14;"may";410;5;-1;0;"unknown";"no"
63;"retired";"married";"tertiary";"no";133;"yes";"no";"cellular";13;"feb";104;2;-1;0;"unknown";"no"
47;"self-employed";"married";"secondary";"no";1121;"no";"no";"unknown";20;"jun";454;6;-1;0;"unknown";"no"
54;"services";"married";"secondary";"no";88;"yes";"no";"unknown";13;"may";190;1;-1;0;"unknown";"no"
45;"admin.";"married";"secondary";"no";0;"no";"no";"cellular";19;"aug";145;10;-1;0;"unknown";"no"
28;"management";"single";"tertiary";"no";-328;"yes";"no";"telephone";2;"feb";318;2;-1;0;"unknown";"no"
58;"unemployed";"married";"secondary";"no";610;"yes";"no";"telephone";29;"jul";246;2;-1;0;"unknown";"no"
48;"management";"single";"tertiary";"no";414;"no";"no";"cellular";21;"jul";761;2;-1;0;"unknown";"no"
35;"management";"divorced";"tertiary";"no";0;"yes";"no";"telephone";29;"oct";171;1;-1;0;"unknown";"yes"
37;"self-employed";"married";"tertiary";"no";0;"no";"no";"unknown";6;"jun";143;1;-1;0;"unknown";"no"
37;"blue-collar";"married";"secondary";"no";685;"yes";"no";"unknown";6;"jun";968;1;-1;0;"unknown";"no"
37;"management";"married";"primary";"no";22856;"no";"no";"cellular";2;"jul";154;1;388;1;"failure";"no"
25;"services";"single";"secondary";"no";-352;"no";"no";"cellular";15;"jul";246;1;-1;0;"unknown";"no"
58;"blue-collar";"married";"secondary";"no";602;"yes";"no";"cellular";13;"may";201;1;-1;0;"unknown";"no"
52;"management";"married";"secondary";"no";-588;"yes";"no";"cellular";22;"jul";81;4;-1;0;"unknown";"no"
19;"student";"single";"secondary";"no";302;"no";"no";"cellular";16;"jul";205;1;-1;0;"unknown";"yes"
59;"blue-collar";"married";"secondary";"no";5314;"yes";"no";"cellular";5;"may";200;3;-1;0;"unknown";"no"
41;"technician";"married";"secondary";"no";64;"yes";"yes";"unknown";8;"may";210;2;-1;0;"unknown";"no"
34;"technician";"single";"tertiary";"no";632;"no";"no";"cellular";22;"aug";215;10;-1;0;"unknown";"no"
35;"technician";"single";"secondary";"no";5731;"yes";"no";"cellular";4;"may";164;2;167;4;"other";"no"
41;"technician";"married";"secondary";"no";902;"no";"no";"unknown";16;"jun";35;6;-1;0;"unknown";"no"
28;"blue-collar";"single";"secondary";"no";6307;"yes";"no";"unknown";28;"may";615;1;-1;0;"unknown";"no"
53;"management";"divorced";"secondary";"no";112;"no";"yes";"cellular";11;"aug";246;3;-1;0;"unknown";"no"
35;"services";"married";"secondary";"no";0;"no";"yes";"telephone";9;"jul";42;1;-1;0;"unknown";"no"
33;"admin.";"single";"tertiary";"no";621;"no";"no";"cellular";8;"jul";217;1;-1;0;"unknown";"no"
37;"technician";"single";"secondary";"no";435;"yes";"no";"unknown";26;"may";210;1;-1;0;"unknown";"no"
32;"technician";"married";"secondary";"no";782;"yes";"no";"unknown";26;"may";116;4;-1;0;"unknown";"no"
32;"blue-collar";"married";"secondary";"no";478;"yes";"no";"unknown";3;"jun";200;1;-1;0;"unknown";"no"
54;"services";"married";"unknown";"no";7864;"yes";"no";"unknown";15;"may";145;4;-1;0;"unknown";"no"
44;"blue-collar";"married";"secondary";"no";1910;"yes";"no";"unknown";5;"jun";41;1;-1;0;"unknown";"no"
36;"technician";"divorced";"tertiary";"no";1174;"yes";"no";"cellular";18;"nov";192;2;-1;0;"unknown";"no"
56;"admin.";"married";"secondary";"no";1270;"yes";"no";"cellular";17;"nov";80;2;165;2;"other";"no"
30;"management";"single";"tertiary";"no";18;"no";"no";"unknown";20;"may";121;11;-1;0;"unknown";"no"
36;"blue-collar";"married";"secondary";"no";141;"yes";"no";"unknown";23;"may";106;3;-1;0;"unknown";"no"
43;"management";"married";"tertiary";"no";2886;"no";"no";"cellular";20;"nov";230;1;-1;0;"unknown";"no"
40;"technician";"married";"secondary";"no";2715;"yes";"no";"unknown";29;"may";125;2;-1;0;"unknown";"no"
32;"technician";"single";"tertiary";"no";1100;"yes";"yes";"cellular";11;"aug";67;1;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";516;"yes";"yes";"unknown";2;"jun";26;1;-1;0;"unknown";"no"
37;"services";"married";"secondary";"no";1;"no";"no";"unknown";15;"may";395;2;-1;0;"unknown";"no"
28;"admin.";"single";"secondary";"no";775;"no";"no";"cellular";29;"jan";603;2;-1;0;"unknown";"no"
35;"unknown";"married";"primary";"no";634;"no";"no";"cellular";7;"jul";185;2;-1;0;"unknown";"no"
53;"blue-collar";"single";"secondary";"no";5715;"no";"no";"cellular";28;"jan";287;2;-1;0;"unknown";"no"
60;"admin.";"married";"unknown";"no";1088;"yes";"no";"cellular";26;"may";149;1;-1;0;"unknown";"no"
40;"entrepreneur";"married";"secondary";"no";1532;"yes";"yes";"cellular";18;"nov";173;7;-1;0;"unknown";"no"
57;"retired";"married";"primary";"no";75;"no";"no";"cellular";28;"aug";118;2;-1;0;"unknown";"no"
29;"technician";"single";"secondary";"no";103;"no";"no";"unknown";19;"may";314;1;-1;0;"unknown";"no"
44;"blue-collar";"married";"primary";"no";134;"yes";"no";"cellular";7;"may";378;1;-1;0;"unknown";"no"
41;"admin.";"single";"secondary";"no";748;"no";"no";"telephone";21;"nov";94;7;130;3;"other";"no"
47;"technician";"married";"secondary";"no";1990;"yes";"yes";"cellular";25;"aug";108;4;-1;0;"unknown";"no"
43;"technician";"married";"tertiary";"no";192;"no";"no";"cellular";5;"aug";203;2;-1;0;"unknown";"no"
37;"technician";"single";"secondary";"no";267;"no";"no";"cellular";13;"may";121;1;-1;0;"unknown";"no"
34;"technician";"single";"tertiary";"no";586;"yes";"no";"unknown";16;"may";489;2;-1;0;"unknown";"no"
30;"blue-collar";"single";"secondary";"no";648;"yes";"yes";"unknown";8;"may";287;1;-1;0;"unknown";"no"
57;"entrepreneur";"divorced";"secondary";"yes";25;"yes";"no";"cellular";11;"may";652;1;370;4;"other";"no"
26;"admin.";"single";"secondary";"no";96;"yes";"no";"cellular";13;"may";612;2;348;3;"other";"no"
34;"management";"married";"tertiary";"no";1116;"yes";"no";"cellular";25;"jul";53;5;-1;0;"unknown";"no"
46;"technician";"divorced";"secondary";"no";-90;"no";"yes";"telephone";17;"oct";270;1;-1;0;"unknown";"yes"
38;"entrepreneur";"married";"tertiary";"no";170;"yes";"no";"cellular";18;"may";442;1;-1;0;"unknown";"yes"
37;"technician";"single";"secondary";"no";3665;"no";"no";"cellular";12;"aug";664;3;-1;0;"unknown";"yes"
28;"management";"single";"tertiary";"no";2380;"no";"no";"cellular";14;"sep";394;2;-1;0;"unknown";"no"
57;"blue-collar";"married";"primary";"no";179;"no";"no";"unknown";9;"jun";230;3;-1;0;"unknown";"no"
39;"management";"married";"tertiary";"no";763;"yes";"no";"cellular";11;"may";877;7;300;2;"other";"yes"
49;"services";"married";"secondary";"no";320;"no";"no";"telephone";9;"feb";1971;4;-1;0;"unknown";"yes"
38;"technician";"married";"secondary";"no";1960;"yes";"no";"cellular";21;"aug";161;2;-1;0;"unknown";"no"
27;"blue-collar";"married";"secondary";"no";818;"yes";"no";"unknown";3;"jun";188;5;-1;0;"unknown";"no"
30;"admin.";"married";"secondary";"no";2678;"yes";"no";"cellular";18;"may";23;5;-1;0;"unknown";"no"
38;"admin.";"married";"tertiary";"no";1980;"no";"no";"cellular";5;"aug";176;2;-1;0;"unknown";"no"
36;"management";"married";"tertiary";"no";1582;"no";"no";"telephone";3;"feb";26;2;197;1;"failure";"no"
38;"retired";"single";"unknown";"no";62;"no";"no";"unknown";19;"jun";212;1;-1;0;"unknown";"no"
