"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
34;"admin.";"married";"tertiary";"no";35;"yes";"no";"cellular";15;"oct";76;1;69;2;"failure";"no"
45;"management";"married";"tertiary";"no";-459;"no";"no";"cellular";21;"aug";508;6;-1;0;"unknown";"no"
28;"services";"single";"secondary";"no";198;"no";"no";"cellular";5;"jul";128;2;-1;0;"unknown";"yes"
31;"blue-collar";"married";"primary";"no";99;"yes";"no";"cellular";17;"apr";193;2;322;1;"other";"no"
40;"management";"married";"tertiary";"no";60;"no";"no";"unknown";16;"jun";172;6;-1;0;"unknown";"no"
30;"services";"single";"secondary";"no";3485;"no";"no";"cellular";2;"feb";142;2;-1;0;"unknown";"no"
34;"entrepreneur";"married";"secondary";"no";-139;"yes";"yes";"unknown";27;"may";492;2;-1;0;"unknown";"no"
40;"blue-collar";"married";"secondary";"no";952;"no";"yes";"unknown";12;"jun";140;1;-1;0;"unknown";"no"
59;"retired";"married";"primary";"no";1427;"no";"no";"unknown";18;"jun";140;2;-1;0;"unknown";"no"
43;"technician";"single";"tertiary";"no";1017;"yes";"no";"unknown";19;"may";257;2;-1;0;"unknown";"no"
41;"management";"married";"tertiary";"no";-29;"no";"no";"cellular";29;"jan";41;2;266;2;"failure";"no"
33;"technician";"divorced";"secondary";"no";9;"no";"no";"cellular";21;"aug";91;2;-1;0;"unknown";"no"
33;"management";"married";"secondary";"no";4040;"yes";"no";"cellular";20;"apr";132;2;-1;0;"unknown";"no"
36;"blue-collar";"married";"secondary";"no";13;"no";"no";"unknown";3;"jun";284;1;-1;0;"unknown";"no"
32;"self-employed";"single";"secondary";"no";1259;"no";"no";"cellular";25;"jul";184;2;-1;0;"unknown";"no"
25;"admin.";"married";"secondary";"no";18;"yes";"no";"cellular";18;"jul";225;1;-1;0;"unknown";"no"
25;"blue-collar";"married";"secondary";"no";-76;"yes";"no";"unknown";12;"may";241;3;-1;0;"unknown";"no"
38;"technician";"single";"tertiary";"no";221;"no";"no";"cellular";20;"aug";79;3;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"no";136;"yes";"no";"cellular";22;"apr";156;1;-1;0;"unknown";"no"
67;"blue-collar";"married";"secondary";"no";16353;"no";"no";"cellular";27;"oct";223;2;-1;0;"unknown";"no"
32;"blue-collar";"married";"secondary";"no";-63;"yes";"no";"unknown";30;"may";198;1;-1;0;"unknown";"no"
45;"housemaid";"married";"primary";"no";7353;"no";"no";"cellular";13;"aug";536;2;-1;0;"unknown";"no"
33;"blue-collar";"married";"primary";"no";511;"yes";"no";"unknown";21;"may";304;2;-1;0;"unknown";"no"
38;"admin.";"married";"primary";"no";3913;"yes";"no";"cellular";20;"apr";196;2;315;2;"failure";"no"
32;"technician";"divorced";"secondary";"no";1097;"yes";"no";"unknown";12;"may";298;2;-1;0;"unknown";"no"
54;"retired";"divorced";"tertiary";"no";6102;"yes";"yes";"unknown";21;"may";86;6;-1;0;"unknown";"no"
51;"admin.";"divorced";"secondary";"no";340;"yes";"no";"unknown";8;"may";186;1;-1;0;"unknown";"no"
42;"blue-collar";"married";"primary";"no";-119;"yes";"no";"cellular";22;"jul";167;3;-1;0;"unknown";"no"
41;"admin.";"married";"secondary";"no";2993;"yes";"no";"cellular";22;"jul";24;12;-1;0;"unknown";"no"
39;"management";"divorced";"tertiary";"no";3575;"no";"yes";"cellular";18;"aug";74;3;-1;0;"unknown";"no"
38;"blue-collar";"married";"secondary";"no";361;"yes";"no";"unknown";11;"jun";601;1;-1;0;"unknown";"no"
39;"management";"married";"secondary";"no";1072;"yes";"no";"unknown";27;"may";1168;2;-1;0;"unknown";"no"
46;"blue-collar";"married";"primary";"no";2904;"no";"no";"cellular";20;"apr";277;2;-1;0;"unknown";"no"
50;"entrepreneur";"divorced";"tertiary";"no";1790;"no";"yes";"cellular";6;"feb";748;3;-1;0;"unknown";"no"
33;"blue-collar";"married";"secondary";"no";86;"yes";"no";"unknown";19;"may";364;1;-1;0;"unknown";"no"
37;"technician";"married";"secondary";"no";1633;"yes";"no";"unknown";19;"may";229;3;-1;0;"unknown";"no"
31;"management";"married";"tertiary";"no";8312;"no";"no";"cellular";29;"aug";43;13;-1;0;"unknown";"no"
34;"blue-collar";"divorced";"unknown";"no";172;"no";"no";"cellular";15;"jun";177;1;-1;0;"unknown";"yes"
34;"management";"married";"tertiary";"no";0;"yes";"no";"cellular";7;"aug";262;1;99;2;"success";"yes"
